harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
28,15,0,8,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0
0,0,0,0,0,0,0,0,163,1,0,0,0,0,0,0,0,0,0,0,81,0,1,2,0,12
2,0,0,0,0,0,0,0,0,0,30,0,25,0,25,0,0,0,100,0,171,298,72,53,21,13
16,3,17,3,5,1,0,3,0,3,0,0,0,11,34,0,0,0,11,0,9,28,10,3,0,12
15,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,22,0,71
0,0,0,0,0,0,0,0,136,2,0,0,0,0,0,0,0,0,6,13,12,0,0,6,0,66
3,2,0,0,0,2,0,0,29,19,4,8,0,0,28,0,0,0,17,5,88,137,19,17,38,58
52,0,0,0,46,0,0,0,21,0,13,0,0,0,36,1,0,0,0,7,98,659,0,6,23,0
0,0,0,4,0,0,0,0,13,2,4,0,7,6,35,15,0,0,79,0,4,12,130,16,0,0
0,1,0,0,0,0,0,0,21,11,0,0,0,0,5,0,0,0,1,0,2,16,14,4,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,6,8,1,0,0,0,27,11,0,0,0,0,5,0,0,0,0,0,15,0,0,8,1,5
13,0,0,0,6,0,0,0,244,9,1,0,0,0,0,0,0,0,15,1,35,7,138,34,2,130
0,0,0,0,0,2,0,0,1043,0,0,0,0,0,0,0,0,0,0,1,140,6,0,0,1,13
32,1,14,0,8,1,0,0,46,0,0,1,0,0,13,0,0,0,10,1,7,17,99,15,1,3
14,0,0,0,0,0,0,0,69,8,21,9,2,0,15,0,0,0,5,6,4,3,23,15,5,60
3,0,0,0,0,0,0,0,36,71,1,0,0,0,3,2,0,0,8,0,1,3,28,14,0,451
4,0,0,0,8,0,0,0,15,0,0,0,12,0,0,0,0,0,31,1,4,48,0,0,11,49
0,0,0,0,0,0,0,0,131,0,0,0,28,37,0,0,0,0,0,0,0,8,0,0,0,220
6,0,0,0,0,0,0,0,41,19,6,0,0,0,21,0,0,0,2,2,13,21,105,23,2,119
12,0,2,0,7,0,0,0,33,13,11,1,9,0,37,1,0,0,3,1,25,14,38,38,8,54
2,1,1,1,3,0,8,0,20,1,10,5,12,6,14,2,0,0,74,12,5,1,49,5,1,7
2,0,0,0,0,0,0,0,36,0,0,0,4,0,61,0,0,0,12,1,12,27,29,29,2,58
6,5,0,0,6,0,0,0,10,17,1,0,1,0,3,0,0,0,6,0,235,6,0,4,0,76
0,0,0,0,1,1,0,0,30,7,1,0,0,0,28,0,0,0,6,4,15,23,60,46,18,14
14,2,0,0,0,0,0,0,41,5,0,1,14,17,25,0,0,0,0,0,0,32,1,0,0,41
