ID,version,checksum,year,month,day,hour,minute,mode,theme,themeName,timeLimit,scroll,scrollName,widthBlock,heightBlock,objectCount,Goomba,GoombaBig,GoombaBigWing,GoombaWing,GreenKoopaTroopa,GreenKoopaTroopaBig,GreenKoopaTroopaBigWing,GreenKoopaTroopaWing,RedKoopaTroopa,RedKoopaTroopaBig,RedKoopaTroopaBigWing,RedKoopaTroopaWing,PiranhaPlant,PiranhaPlantBig,PiranhaPlantBigWing,PiranhaPlantWing,FirePiranhaPlant,FirePiranhaPlantBig,FirePiranhaPlantBigWing,FirePiranhaPlantWing,HammerBro,HammerBroBig,HammerBroBigWing,HammerBroWing,Lift,FallLift,Thwomp,ThwompBig,ThwompBigWing,ThwompWing,Skewer,SkewerBig,SkewerBigWing,SkewerWing,BillBlaster,BullEyeBlaster,Bombhei,BombheiBig,BombheiBigWing,BombheiWing,ActiveBombhei,ActiveBombheiBig,ActiveBombheiBigWing,ActiveBombheiWing,PSwitch,Key,FireBar,Spiny,SpinyBig,SpinyBigWing,SpinyWing,BlueSpiny,BlueSpinyBig,BlueSpinyBigWing,BlueSpinyWing,BuzzyBeetle,BuzzyBeetleBig,BuzzyBeetleBigWing,BuzzyBeetleWing,Lakitu,LakituBig,LakituBigWing,LakituWing,LakituCloud,Tsuta,LavaLift,BlueLavaLift,Kameck,KameckBig,KameckBigWing,KameckWing,SpikeTop,SpikeTopBig,SpikeTopBigWing,SpikeTopWing,BlueSpikeTop,BlueSpikeTopBig,BlueSpikeTopBigWing,BlueSpikeTopWing,Boo,BooBig,BooBigWing,BooWing,CirclingBoo,CirclingBooBig,CirclingBooBigWing,CirclingBooWing,KoopaClown,FireKoopaClown,DryBones,DryBonesBig,DryBonesBigWing,DryBonesWing,Cannon,RedCannon,Blooper,BlooperBig,BlooperBigWing,BlooperWing,BlooperNanny,BlooperNannyBig,BlooperNannyBigWing,BlooperNannyWing,Wiggler,WigglerBig,WigglerBigWing,WigglerWing,AngryWiggler,AngryWigglerBig,AngryWigglerBigWing,AngryWigglerWing,Burner,Door,PDoor,KeyDoor,CheepCheep,CheepCheepBig,CheepCheepBigWing,CheepCheepWing,DeepCheep,DeepCheepBig,DeepCheepBigWing,DeepCheepWing,Muncher,MuncherBig,MuncherBigWing,MuncherWing,RockyWrench,RockyWrenchBig,RockyWrenchBigWing,RockyWrenchWing,MontyMole,MontyMoleBig,MontyMoleBigWing,MontyMoleWing,LavaBubble,LavaBubbleBig,LavaBubbleBigWing,LavaBubbleWing,ChainChomp,ChainChompBig,ChainChompBigWing,ChainChompWing,Bowser,BowserBig,BowserBigWing,BowserWing,BowserJr,BowserJrBig,BowserJrBigWing,BowserJrWing,AirSign,CheckpointFlag,Grinder,Bumper,?Block,Coin,Pipe,JumpStep,PowBlock,Mushroom,NoteBlock,UpMushroom,FireFlower,SuperStar,SpinyBlock,SuperItem,YoshiEgg,WeirdMushroom,MegaMushroom,BeltSprint,VineBody,OneWayGate
0019-0000-0369-496E,11,761825792,2017,10,22,20,00,WU,4,water,30,0,none,107,27,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,19,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,92,0
002D-0000-032B-B0DA,11,1443138563,2017,05,06,21,25,M1,0,overworld,30,0,none,240,27,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,72,12,2,0,0,0,0,0,0,0,162,0,0,0,0,0,0,1
00C4-0000-0375-FD8E,11,2607903701,2017,12,03,10,45,WU,1,underground,500,0,none,240,27,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,171,13,45,0,10,95,298,0,4,1,0,0,0,0,0,0,72,0
01CA-0000-035A-DE18,11,3631861914,2017,09,04,17,30,MW,1,underground,500,0,none,189,27,374,0,0,3,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,12,3,4,0,6,24,0,0,5,0,0,0,0,0,3,7,0
02B7-0000-0325-5358,11,370379495,2017,04,22,13,07,M1,0,overworld,500,0,none,120,27,812,11,2,0,0,2,1,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031E-0000-0308-1D03,11,4179406554,2017,02,27,15,28,MW,1,underground,30,0,none,240,27,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,66,0,0,0,0,0,6,0,0,118,0,0,0,0,0,0,0
0321-0000-0363-A150,11,1296244784,2017,10,04,03,38,M1,5,ghostHouse,350,0,none,138,27,2766,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,13,0,2,0,0,0,0,0,0,34,0,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,1,0,0,0,2,1,10,0,85,58,5,1,4,0,136,2,0,2,18,13,0,0,0,2,0,9
056E-0000-0331-6F21,11,2434175696,2016,05,10,16,58,WU,0,overworld,500,3,fast,240,27,1577,12,0,0,0,23,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,41,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,2,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,98,0,4,0,14,0,659,0,0,0,0,0,6,0,0,0,0,0
0054-0000-0363-9F81,11,543289841,2017,10,04,02,54,M1,0,overworld,250,0,none,240,27,2055,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,6,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,0,16,6,0,0,0,76,0,0,0,3,0,0,0,0,127,0
05BC-0000-031E-9757,11,1482375092,2017,04,03,07,15,M3,0,overworld,500,0,none,132,27,1148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,2,0,0,7,4,0,6,1,0,0,21,0,0,0,0,3,0,6
