ID,timeLimit,widthBlock,heightBlock,objectCount,record,harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
0019-0000-0369-496E,30,107,27,417,22309,28,15,0,8,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0
002D-0000-032B-B0DA,30,240,27,708,20478,0,0,0,0,0,0,0,0,163,1,0,0,0,0,0,0,0,0,0,0,81,0,1,2,0,12
00C4-0000-0375-FD8E,500,240,27,2417,12900,2,0,0,0,0,0,0,0,0,0,30,0,25,0,25,0,0,0,100,0,171,298,72,53,21,13
01CA-0000-035A-DE18,500,189,27,374,31148,16,3,17,3,5,1,0,3,0,3,0,0,0,11,34,0,0,0,11,0,9,28,10,3,0,12
02B7-0000-0325-5358,500,120,27,812,10344,15,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,22,0,71
031E-0000-0308-1D03,30,240,27,825,25216,0,0,0,0,0,0,0,0,136,2,0,0,0,0,0,0,0,0,6,13,12,0,0,6,0,66
0321-0000-0363-A150,350,138,27,2766,79012,3,2,0,0,0,2,0,0,29,19,4,8,0,0,28,0,0,0,17,5,88,137,19,17,38,58
056E-0000-0331-6F21,500,240,27,1577,47500,52,0,0,0,46,0,0,0,21,0,13,0,0,0,36,1,0,0,0,7,98,659,0,6,23,0
0054-0000-0363-9F81,250,240,27,2055,26382,0,0,0,4,0,0,0,0,13,2,4,0,7,6,35,15,0,0,79,0,4,12,130,16,0,0
05BC-0000-031E-9757,500,132,27,1148,38720,0,1,0,0,0,0,0,0,21,11,0,0,0,0,5,0,0,0,1,0,2,16,14,4,6,0
05EC-0000-0333-65D1,500,228,27,1198,25987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06F9-0000-0324-98CC,500,134,27,1140,27080,23,0,6,8,1,0,0,0,27,11,0,0,0,0,5,0,0,0,0,0,15,0,0,8,1,5
06AA-0000-0339-5427,500,240,27,3779,187114,13,0,0,0,6,0,0,0,244,9,1,0,0,0,0,0,0,0,15,1,35,7,138,34,2,130
06FD-0000-0361-B702,30,55,27,1263,26168,0,0,0,0,0,2,0,0,1043,0,0,0,0,0,0,0,0,0,0,1,140,6,0,0,1,13
0712-0000-0357-84B1,500,205,27,4177,80783,32,1,14,0,8,1,0,0,46,0,0,1,0,0,13,0,0,0,10,1,7,17,99,15,1,3
078F-0000-036A-380D,400,177,27,3274,163050,14,0,0,0,0,0,0,0,69,8,21,9,2,0,15,0,0,0,5,6,4,3,23,15,5,60
06A7-0000-032C-8F9D,500,84,27,1646,181338,3,0,0,0,0,0,0,0,36,71,1,0,0,0,3,2,0,0,8,0,1,3,28,14,0,451
080A-0000-035A-B173,10,103,27,1094,9159,4,0,0,0,8,0,0,0,15,0,0,0,12,0,0,0,0,0,31,1,4,48,0,0,11,49
080E-0000-0302-8B05,500,139,27,469,25420,0,0,0,0,0,0,0,0,131,0,0,0,28,37,0,0,0,0,0,0,0,8,0,0,0,220
05BF-0000-0324-95CE,500,240,27,3944,97023,6,0,0,0,0,0,0,0,41,19,6,0,0,0,21,0,0,0,2,2,13,21,105,23,2,119
09ED-0000-034F-2F4C,500,240,27,3569,158674,12,0,2,0,7,0,0,0,33,13,11,1,9,0,37,1,0,0,3,1,25,14,38,38,8,54
09F6-0000-032D-028C,150,72,27,2047,28008,2,1,1,1,3,0,8,0,20,1,10,5,12,6,14,2,0,0,74,12,5,1,49,5,1,7
0A34-0000-0362-8F49,500,240,27,2998,65389,2,0,0,0,0,0,0,0,36,0,0,0,4,0,61,0,0,0,12,1,12,27,29,29,2,58
0ACF-0000-0321-BE2B,500,240,27,3855,192303,6,5,0,0,6,0,0,0,10,17,1,0,1,0,3,0,0,0,6,0,235,6,0,4,0,76
0B41-0000-035B-5DAB,500,190,27,4339,146225,0,0,0,0,1,1,0,0,30,7,1,0,0,0,28,0,0,0,6,4,15,23,60,46,18,14
0B55-0000-034D-CB6B,30,240,27,868,21915,14,2,0,0,0,0,0,0,41,5,0,1,14,17,25,0,0,0,0,0,0,32,1,0,0,41
0B74-0000-0330-899B,30,240,27,1552,20950,0,0,0,0,18,1,0,0,176,26,0,0,0,0,27,0,0,0,52,0,176,10,51,13,4,164
08E0-0000-034C-76BF,500,124,27,2966,24433,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,90,0,0,279,8,6,200,582
0CEF-0000-0337-C8B9,500,228,27,4080,196625,15,1,5,0,1,0,0,0,24,19,4,1,10,0,10,0,0,0,2,0,21,6,20,13,3,283
0D24-0000-0377-8678,500,193,27,1844,49952,11,23,2,3,10,0,0,0,92,1,1,1,1,1,6,0,0,0,4,5,7,65,65,7,1,57
0D42-0000-030A-6B3D,200,240,27,947,24983,6,0,0,0,51,0,0,0,0,10,0,0,12,0,2,0,0,0,21,0,13,0,9,13,5,0
0D79-0000-0369-09ED,500,174,27,1993,64500,2,1,2,2,0,0,0,0,5,6,0,0,13,2,0,0,0,0,11,0,336,1,19,18,5,51
0D91-0000-0321-A95D,20,107,27,196,9056,10,0,0,0,17,0,0,0,92,8,7,0,0,0,6,0,0,0,0,18,0,2,0,0,0,0
0D95-0000-0381-CC36,500,173,27,4448,42730,27,0,0,0,0,0,0,0,308,16,43,0,0,0,15,0,0,0,94,0,0,103,257,5,21,0
0E7E-0000-0368-554D,40,240,27,1859,35446,86,2,0,2,0,0,0,0,43,0,0,3,2,0,4,2,0,0,0,0,0,28,0,0,1,100
0F14-0000-0338-BF94,90,240,27,4292,87125,1,6,0,2,0,1,0,0,97,70,2,1,4,21,2,0,0,0,4,5,41,42,23,15,9,161
0F30-0000-032A-8ACD,500,84,27,1490,7112,18,6,3,2,10,0,1,0,4,3,3,0,2,5,6,0,0,0,33,2,367,20,12,0,1,0
0F8B-0000-032D-0424,150,146,27,1440,12383,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,185,2,72,6,0,77
0B67-0000-033B-6A99,20,180,27,2101,14920,8,0,0,0,9,0,0,0,244,0,0,0,0,0,0,0,0,0,14,0,19,3,10,15,0,175
0F42-0000-0314-876F,500,240,27,779,85750,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
0FDA-0000-0324-2EAF,40,120,27,1268,39221,0,0,0,0,0,0,0,0,290,13,0,0,0,0,0,0,0,0,0,0,21,32,0,2,0,0
